feature,importance
F3636,0.0007642880082130432
F2796,0.0007013259921222926
F337,0.0006996360141783952
F2794,0.0006945100147277116
F2688,0.0006809140089899301
F2687,0.00047109680017456414
F479,0.0003973179962486029
F2450,0.00035580398980528116
F2453,0.00030451600905507804
F3523,0.0
F3775,0.0
F3509,0.0
F3781,0.0
F3510,0.0
F3511,0.0
F3512,0.0
F3780,0.0
F3779,0.0
F3513,0.0
F3518,0.0
F3515,0.0
F3516,0.0
F3517,0.0
F3519,0.0
F3778,0.0
F3777,0.0
F3520,0.0
F3521,0.0
F3522,0.0
F3514,0.0
F3756,0.0
F3755,0.0
F3752,0.0
F3528,0.0
F3747,0.0
F3530,0.0
F3531,0.0
F3768,0.0
F3745,0.0
F3533,0.0
F3744,0.0
F3742,0.0
F3538,0.0
F3539,0.0
F3540,0.0
F3740,0.0
F3746,0.0
F3774,0.0
F3524,0.0
F3772,0.0
F3771,0.0
F3770,0.0
F3769,0.0
F3525,0.0
F3767,0.0
F3757,0.0
F3765,0.0
F3764,0.0
F3763,0.0
F3762,0.0
F3761,0.0
F3760,0.0
F3759,0.0
F3758,0.0
F3766,0.0
F3849,0.0
F3848,0.0
F3465,0.0
F3466,0.0
F3847,0.0
F3846,0.0
F3467,0.0
F3468,0.0
F3497,0.0
F3470,0.0
F3844,0.0
F3471,0.0
F3472,0.0
F3473,0.0
F3474,0.0
F3475,0.0
F3476,0.0
F3469,0.0
F3451,0.0
F3453,0.0
F3454,0.0
F3455,0.0
F3450,0.0
F3457,0.0
F3458,0.0
F3459,0.0
F3850,0.0
F3460,0.0
F3461,0.0
F3462,0.0
F3463,0.0
F3464,0.0
F3854,0.0
F3853,0.0
F3852,0.0
F3856,0.0
F3790,0.0
F3789,0.0
F3788,0.0
F3787,0.0
F3496,0.0
F3541,0.0
F3786,0.0
F3785,0.0
F3477,0.0
F3784,0.0
F3502,0.0
F3504,0.0
F3505,0.0
F3507,0.0
F3508,0.0
F3783,0.0
F3782,0.0
F3500,0.0
F3478,0.0
F3479,0.0
F3480,0.0
F3481,0.0
F3482,0.0
F3483,0.0
F3824,0.0
F3823,0.0
F3791,0.0
F3817,0.0
F3809,0.0
F3797,0.0
F3795,0.0
F3794,0.0
F3793,0.0
F3490,0.0
F3792,0.0
F3818,0.0
F3690,0.0
F3689,0.0
F3688,0.0
F3620,0.0
F3621,0.0
F3687,0.0
F3622,0.0
F3623,0.0
F3550,0.0
F3625,0.0
F3686,0.0
F3626,0.0
F3685,0.0
F3684,0.0
F3627,0.0
F3628,0.0
F3629,0.0
F3630,0.0
F3624,0.0
F3705,0.0
F3702,0.0
F3701,0.0
F3608,0.0
F3699,0.0
F3698,0.0
F3610,0.0
F3697,0.0
F3612,0.0
F3619,0.0
F3615,0.0
F3696,0.0
F3616,0.0
F3617,0.0
F3695,0.0
F3618,0.0
F3694,0.0
F3693,0.0
F3692,0.0
F3613,0.0
F3667,0.0
F3647,0.0
F3648,0.0
F3649,0.0
F3666,0.0
F3651,0.0
F3652,0.0
F3653,0.0
F3654,0.0
F3683,0.0
F3656,0.0
F3664,0.0
F3657,0.0
F3658,0.0
F3659,0.0
F3660,0.0
F3661,0.0
F3662,0.0
F3663,0.0
F3655,0.0
F3682,0.0
F3631,0.0
F3632,0.0
F3633,0.0
F3681,0.0
F3680,0.0
F3637,0.0
F3679,0.0
F3638,0.0
F3669,0.0
F3678,0.0
F3677,0.0
F3641,0.0
F3676,0.0
F3675,0.0
F3674,0.0
F3673,0.0
F3671,0.0
F3670,0.0
F3639,0.0
F3558,0.0
F3559,0.0
F3561,0.0
F3562,0.0
F3563,0.0
F3564,0.0
F3565,0.0
